review_id,review_text,rating
1,"Great product, I'm very satisfied!",1
2,"Great product, I'm very satisfied!",5
3,"Terrible experience, very disappointed.",5
4,"Terrible experience, very disappointed.",1
5,"Terrible experience, very disappointed.",2
6,"Great product, I'm very satisfied!",5
7,"Great product, I'm very satisfied!",4
8,"Great product, I'm very satisfied!",2
9,"Great product, I'm very satisfied!",3
10,"Terrible experience, very disappointed.",1
11,"Great product, I'm very satisfied!",1
12,"Great product, I'm very satisfied!",5
13,"Great product, I'm very satisfied!",1
14,"Terrible experience, very disappointed.",5
15,"Great product, I'm very satisfied!",2
16,"Great product, I'm very satisfied!",5
17,"Terrible experience, very disappointed.",1
18,"Terrible experience, very disappointed.",4
19,"Terrible experience, very disappointed.",3
20,"Terrible experience, very disappointed.",1
21,"Great product, I'm very satisfied!",5
22,"Great product, I'm very satisfied!",2
23,"Great product, I'm very satisfied!",3
24,"Terrible experience, very disappointed.",2
25,"Terrible experience, very disappointed.",3
26,"Great product, I'm very satisfied!",2
27,"Terrible experience, very disappointed.",4
28,"Terrible experience, very disappointed.",1
29,"Terrible experience, very disappointed.",2
30,"Terrible experience, very disappointed.",1
31,"Great product, I'm very satisfied!",5
32,"Great product, I'm very satisfied!",3
33,"Great product, I'm very satisfied!",4
34,"Great product, I'm very satisfied!",5
35,"Terrible experience, very disappointed.",3
36,"Terrible experience, very disappointed.",4
37,"Terrible experience, very disappointed.",5
38,"Terrible experience, very disappointed.",2
39,"Terrible experience, very disappointed.",5
40,"Terrible experience, very disappointed.",2
41,"Great product, I'm very satisfied!",4
42,"Great product, I'm very satisfied!",1
43,"Great product, I'm very satisfied!",4
44,"Terrible experience, very disappointed.",2
45,"Great product, I'm very satisfied!",2
46,"Great product, I'm very satisfied!",2
47,"Great product, I'm very satisfied!",2
48,"Terrible experience, very disappointed.",2
49,"Terrible experience, very disappointed.",4
50,"Terrible experience, very disappointed.",4
51,"Great product, I'm very satisfied!",3
52,"Terrible experience, very disappointed.",1
53,"Terrible experience, very disappointed.",2
54,"Great product, I'm very satisfied!",4
55,"Great product, I'm very satisfied!",5
56,"Great product, I'm very satisfied!",2
57,"Great product, I'm very satisfied!",3
58,"Terrible experience, very disappointed.",5
59,"Great product, I'm very satisfied!",1
60,"Terrible experience, very disappointed.",5
61,"Great product, I'm very satisfied!",3
62,"Great product, I'm very satisfied!",1
63,"Terrible experience, very disappointed.",5
64,"Terrible experience, very disappointed.",2
65,"Terrible experience, very disappointed.",5
66,"Great product, I'm very satisfied!",3
67,"Terrible experience, very disappointed.",2
68,"Terrible experience, very disappointed.",2
69,"Great product, I'm very satisfied!",3
70,"Terrible experience, very disappointed.",1
71,"Terrible experience, very disappointed.",3
72,"Terrible experience, very disappointed.",4
73,"Terrible experience, very disappointed.",1
74,"Terrible experience, very disappointed.",1
75,"Terrible experience, very disappointed.",5
76,"Great product, I'm very satisfied!",4
77,"Terrible experience, very disappointed.",4
78,"Terrible experience, very disappointed.",4
79,"Terrible experience, very disappointed.",4
80,"Terrible experience, very disappointed.",5
81,"Terrible experience, very disappointed.",4
82,"Terrible experience, very disappointed.",5
83,"Terrible experience, very disappointed.",1
84,"Great product, I'm very satisfied!",1
85,"Great product, I'm very satisfied!",1
86,"Great product, I'm very satisfied!",3
87,"Terrible experience, very disappointed.",3
88,"Great product, I'm very satisfied!",2
89,"Terrible experience, very disappointed.",5
90,"Terrible experience, very disappointed.",1
91,"Terrible experience, very disappointed.",1
92,"Great product, I'm very satisfied!",5
93,"Great product, I'm very satisfied!",3
94,"Great product, I'm very satisfied!",5
95,"Terrible experience, very disappointed.",3
96,"Great product, I'm very satisfied!",3
97,"Terrible experience, very disappointed.",4
98,"Terrible experience, very disappointed.",1
99,"Great product, I'm very satisfied!",2
100,"Terrible experience, very disappointed.",5
